zipcode,centile,superzip,rank,city.x,state.x,adultpop,households,college,income,latitude,longitude,city.y,state.y,county
60060,87.18864,0,1896,Mundelein,IL,22529,9386,39.83754,100.1543,42.2522766131656,-88.0374364779372,Mundelein,IL,Lake
94547,87.2166,0,1891,Hercules,CA,14470,5801,35.47339,107.8901,38.0069555768526,-122.268668435572,Hercules,CA,Contra Costa
48316,87.28328,0,1880,Utica,MI,14230,6071,32.50878,113.1819,42.6888350187946,-83.0377675840537,Utica,MI,Macomb
20130,87.29174,0,,Paris,VA,56,18,32.14286,113.8148,39.0037982056165,-77.9579517212277,Paris,VA,Fauquier
01938,87.32031,0,1874,Ipswich,MA,9311,3484,41.3919,97.97977,42.6857479339717,-70.8614699952461,Ipswich,MA,Essex
85226,87.34856,0,1870,Chandler,AZ,24199,10347,44.15885,93.25411,33.302091031248,-111.943701590975,Chandler,AZ,Maricopa
12136,87.36027,0,1868,Old Chatham,NY,665,253,40.30075,99.96079,42.4336733317025,-73.5703832488393,Old Chatham,NY,Columbia
21120,87.39818,0,1864,Parkton,MD,4599,1956,35.09459,109.1323,39.6439898324686,-76.6921341406238,Parkton,MD,Baltimore
48116,87.41837,0,1860,Brighton,MI,16356,6901,35.60161,108.336,42.5277414269455,-83.7907313500944,Brighton,MI,Livingston
06085,87.54057,0,1844,Unionville,CT,4715,1933,42.1421,97.57965,41.8618402654132,-72.953362852888,Unionville,CT,Hartford
98117,87.55278,0,1842,Seattle,WA,23086,7413,47.69557,88.0564,47.4342119330399,-121.817954644216,Seattle,WA,King
55042,87.56042,0,1841,Lake Elmo,MN,4735,2150,33.57973,112.4013,44.9934791838467,-92.9051933710695,Lake Elmo,MN,Washington
53213,87.57526,0,1839,Milwaukee,WI,17829,6628,48.92591,86.0087,43.0767218534032,-88.000844537139,Milwaukee,WI,Milwaukee
94901,87.59062,0,1837,San Rafael,CA,28406,9092,43.18102,95.94907,37.9725005544779,-122.514505135219,San Rafael,CA,Marin
33431,87.60168,0,1836,Boca Raton,FL,11870,4272,41.17945,99.43252,26.3793113388308,-80.0994136958305,Boca Raton,FL,Palm Beach
12019,87.60745,0,1835,Ballston Lake,NY,9146,3879,43.93177,94.69508,42.9349889089081,-73.8550485345005,Ballston Lake,NY,Saratoga
13214,87.62129,0,1832,Syracuse,NY,5393,2033,47.35769,88.83573,43.0408861563185,-76.0782524990356,Syracuse,NY,Onondaga
78623,87.64027,0,,Fischer,TX,151,79,48.34437,87.30976,29.9524728681911,-98.2415378265544,Fischer,TX,Comal
02534,87.6405,0,1829,Cataumet,MA,691,276,50.07236,84.3402,41.6694718205876,-70.6383385390294,Cataumet,MA,Barnstable
22303,87.69705,0,1821,Alexandria,VA,10457,3206,48.8381,86.58927,38.7907744088307,-77.0771481572487,Alexandria,VA,Fairfax
45419,87.71168,0,1819,Dayton,OH,10310,3946,46.84772,90.16294,39.6831275341297,-84.1611812271566,Dayton,OH,Montgomery
77478,87.72372,0,1818,Sugar Land,TX,33563,14605,42.42171,97.80456,29.5260306126735,-95.747276638501,Sugar Land,TX,Fort Bend
91902,87.73612,0,1817,Bonita,CA,11636,4685,39.85906,102.2582,32.6729070178875,-117.014725318885,Bonita,CA,San Diego
07054,87.74478,0,1816,Parsippany,NJ,19932,7170,41.16496,100.0196,40.8527989217045,-74.4273980380183,Parsippany,NJ,Morris
02540,87.77429,0,1812,Falmouth,MA,7424,2323,47.48114,89.29339,41.613744789035,-70.5123816724417,Falmouth,MA,Barnstable
